"<p>Author: <a target=""_blank"" title=""Webkul Software Private Limited"" href=""https://webkul.com/"">Webkul</a></p>
                        <p>User Guide: <a target=""_blank"" href=""https://webkul.com/blog/magento2-marketplace-vendor-attribute-manager/"">Click here</a></p>
                        <p>Store Extension: <a target=""_blank"" href=""https://store.webkul.com/magento2-marketplace-vendor-attribute.html"">Click here</a></p>
                        <p>Ticket/Customisations: <a target=""_blank"" href=""https://webkul.uvdesk.com/en/customer/create-ticket/"">Click here</a></p>
                        <p>Services: <a target=""_blank"" href=""https://webkul.com/magento-development/"">Click here</a></p>","<p>Author: <a target=""_blank"" title=""Webkul Software Private Limited"" href=""https://webkul.com/"">Webkul</a></p>
                        <p>User Guide: <a target=""_blank"" href=""https://webkul.com/blog/magento2-marketplace-vendor-attribute-manager/"">Click here</a></p>
                        <p>Store Extension: <a target=""_blank"" href=""https://store.webkul.com/magento2-marketplace-vendor-attribute.html"">Click here</a></p>
                        <p>Ticket/Customisations: <a target=""_blank"" href=""https://webkul.uvdesk.com/en/customer/create-ticket/"">Click here</a></p>
                        <p>Services: <a target=""_blank"" href=""https://webkul.com/magento-development/"">Click here</a></p>"
"Are you sure to assign selected Attribute to Group?","Are you sure to assign selected Attribute to Group?"
"Add Attribute","Add Attribute"
"Are you sure you want to delete?","Are you sure you want to delete?"
"Manage Display Fields","Manage Display Fields"
"Display on Seller Profile","Display on Seller Profile"
"Hide From Seller Profile","Hide From Seller Profile"
"Assign Attribute","Assign Attribute"
ID,ID
"Attribute Id","Attribute Id"
Required,Required
"Show in Seller Profile","Show in Seller Profile"
"Attribute Use For","Attribute Use For"
Action,Action
"Add New Group","Add New Group"
"Group Status","Group Status"
"Additional Info","Additional Info"
"Additional Account Information","Additional Account Information"
"Vendor Registration","Vendor Registration"
